train_steps,agent_steps,return,env_steps,env,run
610000,25873963.5,2794.8,103495854.0,atari_space_invaders,atari_spaceinvaders_0
612000,25961507.0,2640.1,103846028.0,atari_space_invaders,atari_spaceinvaders_0
614000,26049423.0,2712.8,104197692.0,atari_space_invaders,atari_spaceinvaders_0
616000,26134840.0,2729.2,104539360.0,atari_space_invaders,atari_spaceinvaders_0
618000,26226435.5,2851.3,104905742.0,atari_space_invaders,atari_spaceinvaders_0
620000,26315845.5,2774.5,105263382.0,atari_space_invaders,atari_spaceinvaders_0
622000,26405652.5,2738.7,105622610.0,atari_space_invaders,atari_spaceinvaders_0
624000,26495556.0,2846.0,105982224.0,atari_space_invaders,atari_spaceinvaders_0
626000,26584143.5,2733.9,106336574.0,atari_space_invaders,atari_spaceinvaders_0
628000,26672429.0,2671.4,106689716.0,atari_space_invaders,atari_spaceinvaders_0
630000,26759436.5,2681.4,107037746.0,atari_space_invaders,atari_spaceinvaders_0
632000,26848189.5,2784.7,107392758.0,atari_space_invaders,atari_spaceinvaders_0
634000,26935543.5,2799.5,107742174.0,atari_space_invaders,atari_spaceinvaders_0
636000,27021148.0,2772.8,108084592.0,atari_space_invaders,atari_spaceinvaders_0
638000,27100071.0,2758.5,108400284.0,atari_space_invaders,atari_spaceinvaders_0
640000,27187162.5,2841.9,108748650.0,atari_space_invaders,atari_spaceinvaders_0
642000,27281522.0,2752.6,109126088.0,atari_space_invaders,atari_spaceinvaders_0
644000,27367736.5,2840.1,109470946.0,atari_space_invaders,atari_spaceinvaders_0
646000,27450269.5,2581.0,109801078.0,atari_space_invaders,atari_spaceinvaders_0
648000,27541610.0,2804.6,110166440.0,atari_space_invaders,atari_spaceinvaders_0
650000,27623670.5,2811.8,110494682.0,atari_space_invaders,atari_spaceinvaders_0
652000,27698229.0,2760.2,110792916.0,atari_space_invaders,atari_spaceinvaders_0
654000,27784221.0,2806.5,111136884.0,atari_space_invaders,atari_spaceinvaders_0
656000,27865953.0,2780.3,111463812.0,atari_space_invaders,atari_spaceinvaders_0
658000,27946183.5,2833.2,111784734.0,atari_space_invaders,atari_spaceinvaders_0
660000,28033573.5,2764.4,112134294.0,atari_space_invaders,atari_spaceinvaders_0
662000,28122754.5,2860.8,112491018.0,atari_space_invaders,atari_spaceinvaders_0
664000,28212286.0,2685.8,112849144.0,atari_space_invaders,atari_spaceinvaders_0
666000,28302146.0,2759.8,113208584.0,atari_space_invaders,atari_spaceinvaders_0
668000,28388007.0,2860.3,113552028.0,atari_space_invaders,atari_spaceinvaders_0
670000,28476446.5,2787.3,113905786.0,atari_space_invaders,atari_spaceinvaders_0
672000,28556754.0,2698.9,114227016.0,atari_space_invaders,atari_spaceinvaders_0
674000,28639326.0,2719.2,114557304.0,atari_space_invaders,atari_spaceinvaders_0
676000,28722345.0,2799.1,114889380.0,atari_space_invaders,atari_spaceinvaders_0
678000,28802327.5,2763.0,115209310.0,atari_space_invaders,atari_spaceinvaders_0
680000,28885517.5,2776.9,115542070.0,atari_space_invaders,atari_spaceinvaders_0
682000,28967745.5,2725.2,115870982.0,atari_space_invaders,atari_spaceinvaders_0
684000,29054127.5,2663.1,116216510.0,atari_space_invaders,atari_spaceinvaders_0
686000,29142358.0,2742.6,116569432.0,atari_space_invaders,atari_spaceinvaders_0
688000,29224580.5,2780.5,116898322.0,atari_space_invaders,atari_spaceinvaders_0
690000,29310249.5,2785.8,117240998.0,atari_space_invaders,atari_spaceinvaders_0
692000,29391692.5,2802.5,117566770.0,atari_space_invaders,atari_spaceinvaders_0
694000,29480911.0,2682.0,117923644.0,atari_space_invaders,atari_spaceinvaders_0
696000,29565909.0,2791.2,118263636.0,atari_space_invaders,atari_spaceinvaders_0
