train_steps,agent_steps,return,env_steps,env,run
412000,15897666.5,440.0,63590666.0,atari_montezuma_revenge,atari_montezuma_1
414000,15956018.5,430.0,63824074.0,atari_montezuma_revenge,atari_montezuma_1
416000,16036089.5,465.0,64144358.0,atari_montezuma_revenge,atari_montezuma_1
418000,16096590.5,445.0,64386362.0,atari_montezuma_revenge,atari_montezuma_1
420000,16174123.0,400.0,64696492.0,atari_montezuma_revenge,atari_montezuma_1
422000,16252013.0,455.0,65008052.0,atari_montezuma_revenge,atari_montezuma_1
424000,16334503.5,425.0,65338014.0,atari_montezuma_revenge,atari_montezuma_1
426000,16401870.5,400.0,65607482.0,atari_montezuma_revenge,atari_montezuma_1
428000,16468673.5,500.0,65874694.0,atari_montezuma_revenge,atari_montezuma_1
430000,16548505.5,430.0,66194022.0,atari_montezuma_revenge,atari_montezuma_1
432000,16620328.5,470.0,66481314.0,atari_montezuma_revenge,atari_montezuma_1
434000,16699348.5,402.9,66797394.0,atari_montezuma_revenge,atari_montezuma_1
436000,16763074.5,400.0,67052298.0,atari_montezuma_revenge,atari_montezuma_1
438000,16838878.0,400.0,67355512.0,atari_montezuma_revenge,atari_montezuma_1
440000,16918458.5,406.0,67673834.0,atari_montezuma_revenge,atari_montezuma_1
442000,16985917.5,402.0,67943670.0,atari_montezuma_revenge,atari_montezuma_1
444000,17064310.5,430.0,68257242.0,atari_montezuma_revenge,atari_montezuma_1
446000,17145218.5,410.0,68580874.0,atari_montezuma_revenge,atari_montezuma_1
448000,17212824.5,405.0,68851298.0,atari_montezuma_revenge,atari_montezuma_1
450000,17297863.0,420.0,69191452.0,atari_montezuma_revenge,atari_montezuma_1
452000,17383104.0,,69532416.0,atari_montezuma_revenge,atari_montezuma_1
454000,17468697.0,410.0,69874788.0,atari_montezuma_revenge,atari_montezuma_1
456000,17563688.0,,70254752.0,atari_montezuma_revenge,atari_montezuma_1
458000,17644688.0,,70578752.0,atari_montezuma_revenge,atari_montezuma_1
460000,17725688.0,500.0,70902752.0,atari_montezuma_revenge,atari_montezuma_1
462000,17820188.0,,71280752.0,atari_montezuma_revenge,atari_montezuma_1
464000,17887688.0,,71550752.0,atari_montezuma_revenge,atari_montezuma_1
466000,17968688.0,,71874752.0,atari_montezuma_revenge,atari_montezuma_1
468000,18049688.0,250.0,72198752.0,atari_montezuma_revenge,atari_montezuma_1
470000,18130688.0,,72522752.0,atari_montezuma_revenge,atari_montezuma_1
472000,18184688.0,,72738752.0,atari_montezuma_revenge,atari_montezuma_1
474000,18265688.0,450.0,73062752.0,atari_montezuma_revenge,atari_montezuma_1
476000,18346688.0,,73386752.0,atari_montezuma_revenge,atari_montezuma_1
478000,18441188.0,,73764752.0,atari_montezuma_revenge,atari_montezuma_1
480000,18535688.0,850.0,74142752.0,atari_montezuma_revenge,atari_montezuma_1
482000,18622713.0,,74490852.0,atari_montezuma_revenge,atari_montezuma_1
484000,18703713.0,1650.0,74814852.0,atari_montezuma_revenge,atari_montezuma_1
486000,18784713.0,,75138852.0,atari_montezuma_revenge,atari_montezuma_1
488000,18879213.0,10.0,75516852.0,atari_montezuma_revenge,atari_montezuma_1
490000,18971039.0,50.0,75884156.0,atari_montezuma_revenge,atari_montezuma_1
492000,19015172.0,,76060688.0,atari_montezuma_revenge,atari_montezuma_1
494000,19109672.0,1660.0,76438688.0,atari_montezuma_revenge,atari_montezuma_1
496000,19177172.0,,76708688.0,atari_montezuma_revenge,atari_montezuma_1
498000,19258172.0,,77032688.0,atari_montezuma_revenge,atari_montezuma_1
500000,19339172.0,2500.0,77356688.0,atari_montezuma_revenge,atari_montezuma_1
502000,19433672.0,,77734688.0,atari_montezuma_revenge,atari_montezuma_1
504000,19514672.0,,78058688.0,atari_montezuma_revenge,atari_montezuma_1
506000,19582172.0,,78328688.0,atari_montezuma_revenge,atari_montezuma_1
508000,19663172.0,2520.0,78652688.0,atari_montezuma_revenge,atari_montezuma_1
510000,19757672.0,,79030688.0,atari_montezuma_revenge,atari_montezuma_1
512000,19825172.0,,79300688.0,atari_montezuma_revenge,atari_montezuma_1
514000,19906172.0,2590.0,79624688.0,atari_montezuma_revenge,atari_montezuma_1
516000,19989558.0,,79958232.0,atari_montezuma_revenge,atari_montezuma_1
518000,20085956.5,2370.0,80343826.0,atari_montezuma_revenge,atari_montezuma_1
520000,20163868.0,2540.0,80655472.0,atari_montezuma_revenge,atari_montezuma_1
522000,20249548.5,2250.0,80998194.0,atari_montezuma_revenge,atari_montezuma_1
524000,20313320.5,2105.0,81253282.0,atari_montezuma_revenge,atari_montezuma_1
526000,20377852.0,2307.5,81511408.0,atari_montezuma_revenge,atari_montezuma_1
528000,20458158.5,2313.3,81832634.0,atari_montezuma_revenge,atari_montezuma_1
530000,20524191.0,2457.5,82096764.0,atari_montezuma_revenge,atari_montezuma_1
532000,20602873.5,2395.0,82411494.0,atari_montezuma_revenge,atari_montezuma_1
534000,20686448.5,2430.0,82745794.0,atari_montezuma_revenge,atari_montezuma_1
536000,20757762.5,2580.0,83031050.0,atari_montezuma_revenge,atari_montezuma_1
538000,20830982.0,2540.0,83323928.0,atari_montezuma_revenge,atari_montezuma_1
