train_steps,agent_steps,return,env_steps,env,run
4000,112075.0,-20.2,448300.0,atari_pong,atari_pong_1
6000,200867.0,-15.9,803468.0,atari_pong,atari_pong_1
8000,283137.0,-14.9,1132548.0,atari_pong,atari_pong_1
10000,360549.0,-10.9,1442196.0,atari_pong,atari_pong_1
12000,451153.0,-10.1,1804612.0,atari_pong,atari_pong_1
14000,544020.0,-7.9,2176080.0,atari_pong,atari_pong_1
16000,624998.0,-7.3,2499992.0,atari_pong,atari_pong_1
18000,719018.0,-6.6,2876072.0,atari_pong,atari_pong_1
20000,808054.0,1.6,3232216.0,atari_pong,atari_pong_1
22000,901919.0,0.3,3607676.0,atari_pong,atari_pong_1
24000,986206.0,4.9,3944824.0,atari_pong,atari_pong_1
26000,1069259.0,11.7,4277036.0,atari_pong,atari_pong_1
28000,1145304.0,15.0,4581216.0,atari_pong,atari_pong_1
30000,1237290.0,17.3,4949160.0,atari_pong,atari_pong_1
32000,1327431.0,16.9,5309724.0,atari_pong,atari_pong_1
34000,1413449.0,19.3,5653796.0,atari_pong,atari_pong_1
36000,1503114.0,19.0,6012456.0,atari_pong,atari_pong_1
38000,1582591.0,19.2,6330364.0,atari_pong,atari_pong_1
40000,1672875.0,17.5,6691500.0,atari_pong,atari_pong_1
42000,1757451.0,18.9,7029804.0,atari_pong,atari_pong_1
44000,1845688.0,19.0,7382752.0,atari_pong,atari_pong_1
46000,1939464.0,18.3,7757856.0,atari_pong,atari_pong_1
48000,2028829.0,18.1,8115316.0,atari_pong,atari_pong_1
50000,2102376.0,18.2,8409504.0,atari_pong,atari_pong_1
52000,2191152.0,18.6,8764608.0,atari_pong,atari_pong_1
54000,2272927.0,19.2,9091708.0,atari_pong,atari_pong_1
56000,2361094.0,19.3,9444376.0,atari_pong,atari_pong_1
58000,2449314.0,19.3,9797256.0,atari_pong,atari_pong_1
60000,2527019.0,18.8,10108076.0,atari_pong,atari_pong_1
62000,2617749.0,19.5,10470996.0,atari_pong,atari_pong_1
64000,2704912.0,19.3,10819648.0,atari_pong,atari_pong_1
66000,2794263.0,18.9,11177052.0,atari_pong,atari_pong_1
68000,2886351.0,19.0,11545404.0,atari_pong,atari_pong_1
70000,2969736.0,19.1,11878944.0,atari_pong,atari_pong_1
72000,3046039.0,19.2,12184156.0,atari_pong,atari_pong_1
74000,3134289.0,18.6,12537156.0,atari_pong,atari_pong_1
76000,3221720.0,19.3,12886880.0,atari_pong,atari_pong_1
78000,3312655.0,19.6,13250620.0,atari_pong,atari_pong_1
80000,3396780.0,19.8,13587120.0,atari_pong,atari_pong_1
82000,3484464.0,19.4,13937856.0,atari_pong,atari_pong_1
84000,3574836.0,19.2,14299344.0,atari_pong,atari_pong_1
