env,method,run,env_steps,return
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,1000000.0,0.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,2000000.0,0.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,3000000.0,20.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,4000000.0,60.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,5000000.0,160.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,6000000.0,336.3636363636364
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,7000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,8000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,9000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,10000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,11000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,12000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,13000000.0,500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,14000000.0,520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,15000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,16000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,17000000.0,420.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,18000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,19000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,20000000.0,450.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,21000000.0,490.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,22000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,23000000.0,560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,24000000.0,490.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,25000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,26000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,27000000.0,410.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,28000000.0,408.3333333333333
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,29000000.0,520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,30000000.0,440.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,31000000.0,440.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,32000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,33000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,34000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,35000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,36000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,37000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,38000000.0,490.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,39000000.0,450.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,40000000.0,460.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,41000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,42000000.0,440.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,43000000.0,390.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,44000000.0,450.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,45000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,46000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,47000000.0,400.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,48000000.0,440.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,49000000.0,490.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,50000000.0,430.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,51000000.0,500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,52000000.0,500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,53000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,54000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,55000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,56000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,57000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,58000000.0,2250.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,59000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,60000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,61000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,62000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,63000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,64000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,65000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,66000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,67000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,68000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,69000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,70000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,71000000.0,2300.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,72000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,73000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,74000000.0,2300.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,75000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,76000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,77000000.0,2580.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,78000000.0,2560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,79000000.0,2580.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,80000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,81000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,82000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,83000000.0,2560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,84000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,85000000.0,2560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,86000000.0,2520.0
